school_name,department_name,program_code,program_name,research_direction,exam_year,source_type,title,url,publisher_name,published_at,last_verified_at,status,source_confidence,notes
南京理工大学,计算机科学与工程学院,081200,计算机科学与技术,,2024,retest_rule,南京理工大学计算机科学与工程学院2024年硕士研究生复试录取工作实施细则,https://cs.njust.edu.cn/2024/0326/c10209a276866/page.htm,南京理工大学计算机科学与工程学院,2024-03-26,2026-06-12 00:00:00+08:00,active,official,确认 081200 复试线 310、计划 38 人（含推免 30）、进复试 123 人、拟录取 35 人。
南京理工大学,计算机科学与工程学院,081200,计算机科学与技术,,2024,official_notice,2024年南京理工大学硕士研究生复试分数线,https://gs.njust.edu.cn/0d/1d/c14687a331037/page.htm,南京理工大学研究生院,,2026-06-12 00:00:00+08:00,active,official,学校统一公布的各专业复试分数线；含 PDF 附件。
南京理工大学,计算机科学与工程学院,081200,计算机科学与技术,,2024,official_notice,2024年硕士研究生招生公开招考计划,https://gs.njust.edu.cn/0e/3b/c14687a331323/page.htm,南京理工大学研究生院,,2026-06-12 00:00:00+08:00,active,official,学校统一公布的全日制硕士研究生公开招考计划。
南京理工大学,计算机科学与工程学院,083500,软件工程,,2024,retest_rule,南京理工大学计算机科学与工程学院2024年硕士研究生复试录取工作实施细则,https://cs.njust.edu.cn/2024/0326/c10209a276866/page.htm,南京理工大学计算机科学与工程学院,2024-03-26,2026-06-12 00:00:00+08:00,active,official,确认 083500 复试线 310、计划 18 人（含推免 11）、进复试 31 人、拟录取 7 人。
南京理工大学,计算机科学与工程学院,083500,软件工程,,2024,official_notice,2024年南京理工大学硕士研究生复试分数线,https://gs.njust.edu.cn/0d/1d/c14687a331037/page.htm,南京理工大学研究生院,,2026-06-12 00:00:00+08:00,active,official,学校统一公布的各专业复试分数线。
南京理工大学,计算机科学与工程学院,085404,计算机技术,,2024,retest_rule,南京理工大学计算机科学与工程学院2024年硕士研究生复试录取工作实施细则,https://cs.njust.edu.cn/2024/0326/c10209a276866/page.htm,南京理工大学计算机科学与工程学院,2024-03-26,2026-06-12 00:00:00+08:00,active,official,确认 085404 复试线 298、计划 130 人（含推免 4）、进复试 289 人、拟录取 126 人。
南京理工大学,计算机科学与工程学院,085404,计算机技术,,2024,official_notice,2024年南京理工大学硕士研究生复试分数线,https://gs.njust.edu.cn/0d/1d/c14687a331037/page.htm,南京理工大学研究生院,,2026-06-12 00:00:00+08:00,active,official,学校统一公布的各专业复试分数线。
南京理工大学,计算机科学与工程学院,085405,软件工程,,2024,retest_rule,南京理工大学计算机科学与工程学院2024年硕士研究生复试录取工作实施细则,https://cs.njust.edu.cn/2024/0326/c10209a276866/page.htm,南京理工大学计算机科学与工程学院,2024-03-26,2026-06-12 00:00:00+08:00,active,official,确认 085405 复试线 316、计划 48 人（含推免 9）、进复试 107 人、拟录取 39 人。
南京理工大学,计算机科学与工程学院,085405,软件工程,,2024,official_notice,2024年南京理工大学硕士研究生复试分数线,https://gs.njust.edu.cn/0d/1d/c14687a331037/page.htm,南京理工大学研究生院,,2026-06-12 00:00:00+08:00,active,official,学校统一公布的各专业复试分数线。
南京理工大学,计算机科学与工程学院,085410,人工智能,,2024,retest_rule,南京理工大学计算机科学与工程学院2024年硕士研究生复试录取工作实施细则,https://cs.njust.edu.cn/2024/0326/c10209a276866/page.htm,南京理工大学计算机科学与工程学院,2024-03-26,2026-06-12 00:00:00+08:00,active,official,确认 085410 复试线 312、计划 6 人（含推免 1）、进复试 12 人、拟录取 5 人。
南京理工大学,计算机科学与工程学院,085410,人工智能,,2024,official_notice,2024年南京理工大学硕士研究生复试分数线,https://gs.njust.edu.cn/0d/1d/c14687a331037/page.htm,南京理工大学研究生院,,2026-06-12 00:00:00+08:00,active,official,学校统一公布的各专业复试分数线。
南京理工大学,计算机科学与工程学院,085411,大数据技术与工程,,2024,retest_rule,南京理工大学计算机科学与工程学院2024年硕士研究生复试录取工作实施细则,https://cs.njust.edu.cn/2024/0326/c10209a276866/page.htm,南京理工大学计算机科学与工程学院,2024-03-26,2026-06-12 00:00:00+08:00,active,official,确认 085411 复试线 275、计划 4 人、进复试 1 人、录取 4 人（含调剂）。
南京理工大学,计算机科学与工程学院,085411,大数据技术与工程,,2024,official_notice,2024年南京理工大学硕士研究生复试分数线,https://gs.njust.edu.cn/0d/1d/c14687a331037/page.htm,南京理工大学研究生院,,2026-06-12 00:00:00+08:00,active,official,学校统一公布的各专业复试分数线。
